instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P1:status,P1:successful_repeats,P1:result,H1:status,H1:successful_repeats,H1:result,result_match,P1:matches_reference,H1:matches_reference,P1:wall_vs_Concorde_symmetric_change,H1:wall_vs_Concorde_symmetric_change,P1:wall_seconds,H1:wall_seconds,symmetric_change:wall_seconds,P1:branches,H1:branches,symmetric_change:branches
gr24.tsp,ok,0.02609829418361187,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,-1.602315362455149,-1.3396429407527313,0.01002887450158596,0.011154819279909134,0.11227030292832141,1.0,5.0,4.0
gr48.tsp,ok,0.07980214431881905,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,2.3854078978233546,1.2855258621796333,0.27016280964016914,0.1823898646980524,-0.48123806159637983,79114.0,34087.0,-1.320943468184352
gr96.tsp,ok,0.22688710503280163,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,17.04201170147511,14.663258480871793,4.09349980391562,3.5537913721054792,-0.15186834996742782,553254.0,436813.0,-0.2665694473378768
hk48.tsp,ok,0.04629971645772457,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,-0.6007131962558323,-0.5164920302171319,0.028924429789185524,0.03053080104291439,0.05553683393023934,16.0,18.0,0.125
kroC100.tsp,ok,0.10108034498989582,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,323.10987925151034,35.54054032040815,32.761138409376144,3.693530421704054,-7.8698710092826065,8892308.0,340702.0,-25.099958321348275
lin105.tsp,ok,0.09114335291087627,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,1.0837437871962265,0.4350670616484458,0.18991939537227154,0.13079682365059853,-0.45201840588735487,74.0,77.0,0.04054054054054057
pr124.tsp,ok,0.451222188770771,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,11.255624668181047,4.658876239211121,5.530009787529707,2.5534105226397514,-1.1657347059934198,395726.0,138048.0,-1.8665826379230412
rat99.tsp,ok,1.1524219159036875,1211.0,1.0,ok,1,1211.0,ok,1,1211.0,True,True,True,-1.8871804693968701,-6.885944177186592,0.3991513270884752,0.14613620005548,-1.7313651712370999,1257.0,391.0,-2.214833759590793
rd100.tsp,ok,0.09190729446709156,7910.0,1.0,ok,1,7910.0,ok,1,7910.0,True,True,True,7.96936893139247,19.311963112095608,0.82435043156147,1.8668175749480724,1.2645922213105165,59691.0,140782.0,1.358513008661272
st70.tsp,ok,0.06602468341588974,675.0,1.0,ok,1,675.0,ok,1,675.0,True,True,True,16.70865421387788,1.6235050667012123,1.169208288192749,0.17321609146893024,-5.749998099353661,140028.0,967.0,-143.8066184074457
