instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,T1:status,T1:successful_repeats,T1:result,T2:status,T2:successful_repeats,T2:result,result_match,T1:matches_reference,T2:matches_reference,T1:wall_vs_Concorde_symmetric_change,T2:wall_vs_Concorde_symmetric_change,T1:wall_seconds,T2:wall_seconds,symmetric_change:wall_seconds,T1:branches,T2:branches,symmetric_change:branches
rd100.tsp,ok,0.09190729446709156,7910.0,1.0,ok,1,7910.0,ok,1,7910.0,True,True,True,18.185636465289768,15.011321794888865,1.7632999401539564,1.471557267010212,-0.19825437968614223,152174.0,152860.0,0.004507997424001431
st70.tsp,ok,0.06602468341588974,675.0,1.0,ok,1,675.0,ok,1,675.0,True,True,True,129.57786830673135,147.47933397640153,8.62136241607368,9.803301019594073,0.13709417914235744,3296814.0,4094870.0,0.24206885799441524
swiss42.tsp,ok,0.03279697895050049,1273.0,1.0,ok,1,1273.0,ok,1,1273.0,True,True,True,-0.1861695523606688,-0.3163090808630562,0.02764948643743992,0.024915864691138268,-0.10971410304992979,6.0,6.0,0.0
ulysses16.tsp,ok,0.04721811227500439,6859.0,1.0,ok,1,6859.0,ok,1,6859.0,True,True,True,-1.6606510138012576,-1.2240437522827126,0.017746826633810997,0.021230747923254967,0.19631235270008518,1.0,1.0,0.0
wi29.tsp,ok,0.045293282717466354,27603.0,1.0,ok,1,27603.0,ok,1,27603.0,True,True,True,-1.4394175568792735,-1.0330647678968239,0.018567252904176712,0.022278327494859695,0.19987203329622205,1.0,1.0,0.0
bier127.tsp,ok,0.20502866618335247,118282.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
brg180.tsp,ok,0.20931491255760193,1950.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
ch130.tsp,ok,0.21387781016528606,6110.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
ch150.tsp,ok,0.3485230952501297,6528.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
d198.tsp,ok,1.0058379471302032,15780.0,3.0,timeout,0,,timeout,0,,,,,,,,,,,,
gr120.tsp,ok,0.15817620046436787,6942.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
kroA150.tsp,ok,0.4832456335425377,26524.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
