instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,D0:status,D0:successful_repeats,D0:result,D1:status,D1:successful_repeats,D1:result,result_match,D0:matches_reference,D1:matches_reference,D0:wall_vs_Concorde_symmetric_change,D1:wall_vs_Concorde_symmetric_change,D0:wall_seconds,D1:wall_seconds,symmetric_change:wall_seconds,D0:branches,D1:branches,symmetric_change:branches,D0:nodes_expanded,D1:nodes_expanded,D0:pruned_by_bound,D1:pruned_by_bound,D0:pruned_infeasible,D1:pruned_infeasible,D0:root_potential_iterations,D1:root_potential_iterations,D0:search_node_potential_update_candidates,D1:search_node_potential_update_candidates,D0:search_node_potential_updates_triggered,D1:search_node_potential_updates_triggered,D0:search_node_potential_updates_skipped_total,D1:search_node_potential_updates_skipped_total,symmetric_change:search_node_potential_updates_skipped_total,D0:search_node_potential_iterations,D1:search_node_potential_iterations,D0:search_node_potential_updates_skipped_budget_exhausted,D1:search_node_potential_updates_skipped_budget_exhausted,D0:search_node_potential_updates_skipped_depth_interval,D1:search_node_potential_updates_skipped_depth_interval,D0:search_node_potential_updates_skipped_gap_above_maximum,D1:search_node_potential_updates_skipped_gap_above_maximum,D0:search_node_potential_updates_skipped_gap_below_minimum,D1:search_node_potential_updates_skipped_gap_below_minimum,D0:search_node_potential_updates_skipped_invalid_state,D1:search_node_potential_updates_skipped_invalid_state,D0:search_node_potential_updates_skipped_numerically_unsafe,D1:search_node_potential_updates_skipped_numerically_unsafe,D0:search_node_potential_updates_skipped_strategy_none,D1:search_node_potential_updates_skipped_strategy_none,D0:search_node_potential_updates_skipped_update_depth_zero,D1:search_node_potential_updates_skipped_update_depth_zero,D0:search_node_potential_updates_skipped_zero_iteration_limit,D1:search_node_potential_updates_skipped_zero_iteration_limit,D0:search_node_potential_updates_skipped_zero_violation,D1:search_node_potential_updates_skipped_zero_violation
wi29.tsp,ok,0.05014468729496002,27603.0,1.0,ok,1,27603.0,ok,1,27603.0,True,True,True,-3.3011643131431185,-0.5509446303950702,0.011658398434519768,0.03233170695602894,1.7732545887518163,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bier127.tsp,ok,0.20685607381165028,118282.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brg180.tsp,ok,0.257283478975296,1950.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ch130.tsp,ok,0.22894856333732605,6110.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ch150.tsp,ok,0.39348029531538486,6528.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d198.tsp,ok,1.1317064631730318,15780.0,3.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gr120.tsp,ok,0.17271244525909424,6942.0,1.0,ok,1,6942.0,timeout,0,,,True,,2175.0636341365057,,375.83327129110694,,,66797543.0,,,48470559.0,,39236154.0,,9.0,,800.0,,48474528.0,,6000.0,,48468528.0,,,54356.0,,48468407.0,,0.0,,119.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2.0,
kroA150.tsp,ok,0.61689118668437,26524.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kroB100.tsp,ok,0.2682826891541481,22141.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kroB150.tsp,ok,0.5350949000567198,26130.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kroE100.tsp,ok,0.3045678362250328,22068.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pr107.tsp,ok,0.18772567994892597,44303.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pr136.tsp,ok,0.6039651520550251,96772.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pr144.tsp,ok,0.41779404133558273,58537.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pr152.tsp,ok,1.052730867639184,73682.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pr76.tsp,ok,0.3257288318127394,108159.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qa194.tsp,ok,0.5429815594106913,9352.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rat195.tsp,ok,2.8656843081116676,2323.0,3.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
si175.tsp,ok,2.1249877270311117,21407.0,3.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xqf131.tsp,ok,0.37837170995771885,564.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
