repeat,configuration,instance,upper_bound,lower_bound,wall_seconds,heuristic_seconds,root_ascent_seconds,root_potential_iterations
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr120.tsp,7035.0,6911.243700900038,0.189127667,0.05734033400000001,0.130314666,516.0
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr137.tsp,70620.0,69118.35224426475,0.258664458,0.074346249,0.182793125,592.0
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr17.tsp,2085.0,2084.999999998924,0.003386041,0.0024600000000000004,0.000243,121.0
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr21.tsp,2707.0,2706.999999997682,0.0020565,0.001640458,0.000195458,29.0
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr24.tsp,1272.0,1271.9995357693901,0.003313625,0.002507666,0.000506459,122.0
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr48.tsp,5093.0,4958.999443382592,0.013948709,0.00687075,0.006699875,318.0
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr96.tsp,55312.0,54569.49352066382,0.074665791,0.028022334,0.045992083,370.0
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/hk48.tsp,11470.0,11443.03742578926,0.010317084,0.0048771249999999995,0.0045805,162.0
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,21689.0,20936.495650387562,0.09529975,0.031569291,0.063185708,391.0
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA150.tsp,26786.0,26296.059282328926,0.369572375,0.094997167,0.273084375,602.0
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroB100.tsp,22328.0,21833.996439724335,0.094633625,0.030930708,0.062616458,400.0
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroB150.tsp,26359.0,25732.496018037127,0.312341375,0.115737832,0.195463834,429.0
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroC100.tsp,20965.0,20472.49694980305,0.083413042,0.028427374999999998,0.054321292,354.0
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroD100.tsp,21811.0,21141.49753159475,0.086511208,0.028159667,0.057735625,388.0
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroE100.tsp,22597.0,21798.395755460664,0.1212495,0.027235166999999998,0.093537792,591.0
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/lin105.tsp,14523.0,14370.499389782033,0.086833083,0.031958125,0.054252417,345.0
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/pr107.tsp,44303.0,39439.60351348245,0.13071625,0.022384583,0.107327958,524.0
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/pr124.tsp,59159.0,58067.492748859826,0.127301375,0.031481375,0.094565,370.0
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/pr136.tsp,100530.0,95327.53319041648,0.273994834,0.064179209,0.2090505,592.0
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/pr144.tsp,58537.0,58050.96688109716,0.147569583,0.039504583,0.107329375,288.0
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/pr152.tsp,74442.0,68056.8919239027,0.350402917,0.076140333,0.273209458,621.0
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/pr76.tsp,109067.0,105119.98570260686,0.043901416,0.017556041,0.025854667,342.0
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/national/qa194.tsp,9682.0,9265.247785856105,0.734324875,0.271731709,0.460860792,617.0
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/rat195.tsp,2354.0,2293.7609553055195,0.609507208,0.128422917,0.4795135,645.0
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/rat99.tsp,1224.0,1205.9998415063767,0.08133325,0.018151708,0.062813333,495.0
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/rd100.tsp,8069.0,7899.187479828668,0.121006584,0.036044749,0.084540708,523.0
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/si175.tsp,21451.0,21367.295814485078,0.293785291,0.101858584,0.189476667,329.0
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/st70.tsp,685.0,670.9999299990969,0.03589125,0.013377375,0.022283542,385.0
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,1273.0,1271.9897885923313,0.006470792,0.003386542,0.002852583,153.0
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/u159.tsp,42738.0,41924.99104797116,0.307410709,0.09051208300000001,0.215969833,484.0
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/ulysses16.tsp,6859.0,6858.999999996793,0.002965375,0.0026670419999999997,0.000248083,134.0
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/national/wi29.tsp,27603.0,27602.99999994365,0.00375125,0.002951833,0.000736417,71.0
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/vlsi/vlsi/xqf131.tsp,580.0,555.9483407419543,0.211898084,0.044010459,0.167273959,577.0
1,lkh-exec,/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,10628.0,10599.725433047108,0.007846541935577989,0.007846541935577989,0.0,0.0
1,lkh-worker,/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,10628.0,10599.725433047108,0.005933,0.005933,0.0,0.0
1,provider-local-ascent,/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,10628.0,10599.725433047108,0.013156084,0.006775375,0.006229958,214.0
1,provider-pi-replace,/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,10628.0,10602.139999958954,0.006959125,0.006782,3.708e-06,0.0
1,provider-pi-warm16,/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,10628.0,10602.139999958954,0.007551584,0.006772084,0.00060125,16.0
1,lkh-exec,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,1610.0,1607.9853691203934,0.004587584058754146,0.004587584058754146,0.0,0.0
1,lkh-worker,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,1610.0,1607.9853691203934,0.002942,0.002942,0.0,0.0
1,provider-local-ascent,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,1610.0,1607.9853691203934,0.004147167,0.003107958,0.000901292,137.0
1,provider-pi-replace,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,1610.0,1607.9799999981672,0.003256292,0.003107208,8.75e-07,0.0
1,provider-pi-warm16,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,1610.0,1607.9799999981672,0.00353425,0.003105042,0.000227125,16.0
1,lkh-exec,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,2020.0,2013.3953357260446,0.004474874935112894,0.004474874935112894,0.0,0.0
1,lkh-worker,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,2020.0,2013.3953357260446,0.002794,0.002794,0.0,0.0
1,provider-local-ascent,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,2020.0,2013.3953357260446,0.004113959,0.002936917,0.001002,125.0
1,provider-pi-replace,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,2020.0,2013.2999999969581,0.003135916,0.002952125,8.33e-07,0.0
1,provider-pi-warm16,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,2020.0,2013.2999999969581,0.003320083,0.002952458,0.000186125,16.0
1,lkh-exec,/Users/a/Ayanami/code/TSP/data/classic/tsplib/berlin52.tsp,7542.0,7541.9999999735055,0.004989332985132933,0.004989332985132933,0.0,0.0
1,lkh-worker,/Users/a/Ayanami/code/TSP/data/classic/tsplib/berlin52.tsp,7542.0,7541.9999999735055,0.003216,0.003216,0.0,0.0
1,provider-local-ascent,/Users/a/Ayanami/code/TSP/data/classic/tsplib/berlin52.tsp,7542.0,7541.9999999735055,0.006835875,0.004135875,0.002535291,57.0
1,provider-pi-replace,/Users/a/Ayanami/code/TSP/data/classic/tsplib/berlin52.tsp,7542.0,7541.999999973971,0.004324792,0.00413275,3.792e-06,0.0
1,provider-pi-warm16,/Users/a/Ayanami/code/TSP/data/classic/tsplib/berlin52.tsp,7542.0,7541.999999973971,0.004363583,0.00413,5.35e-05,1.0
1,lkh-exec,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bier127.tsp,118282.0,117426.26026219816,0.034166375058703125,0.034166375058703125,0.0,0.0
1,lkh-worker,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bier127.tsp,118282.0,117426.26026219816,0.032776,0.032776,0.0,0.0
1,provider-local-ascent,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bier127.tsp,118282.0,117426.26026219816,0.151967292,0.063979542,0.087326458,262.0
1,provider-pi-replace,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bier127.tsp,118282.0,117430.62999807068,0.063838209,0.063103084,1.1417e-05,0.0
1,provider-pi-warm16,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bier127.tsp,118282.0,117430.62999807068,0.06885150000000001,0.062441042,0.005644417,16.0
1,lkh-exec,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brazil58.tsp,25395.0,25316.887550529744,0.010598667082376778,0.010598667082376778,0.0,0.0
1,lkh-worker,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brazil58.tsp,25395.0,25316.887550529744,0.007964,0.007964,0.0,0.0
1,provider-local-ascent,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brazil58.tsp,25395.0,25316.887550529744,0.019923542000000002,0.009376083,0.010211083,220.0
1,provider-pi-replace,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brazil58.tsp,25395.0,25354.239999786165,0.009761916,0.009390625,2.167e-06,0.0
1,provider-pi-warm16,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brazil58.tsp,25395.0,25354.239999786165,0.010708833000000001,0.009376334,0.000965959,16.0
1,lkh-exec,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brg180.tsp,1950.0,1949.6783331475706,0.06912312493659556,0.06912312493659556,0.0,0.0
