comparison,factor,left,right,left_value,right_value,left_ok,right_ok,common_ok,left_only,right_only,result_agreements,result_mismatches,left_reference_checked,left_reference_mismatches,right_reference_checked,right_reference_mismatches,metric,paired_values,left_total,right_total,aggregate_relative_change,decreased,tied,increased
21,hk ascent、hk node ascent,PPS32,hybrid-reverse,hk ascent=polyak；hk node ascent=polyak-smoothed,hk ascent=hybrid-reverse；hk node ascent=polyak,41,41,40,bier127.tsp,brg180.tsp,40,,41,,41,,wall_seconds,40,3726.2295857705176,4244.772802842781,0.1391602973290864,21,0,19
21,hk ascent、hk node ascent,PPS32,hybrid-reverse,hk ascent=polyak；hk node ascent=polyak-smoothed,hk ascent=hybrid-reverse；hk node ascent=polyak,41,41,40,bier127.tsp,brg180.tsp,40,,41,,41,,branches,40,5015701.0,3569859.0,-0.2882631959121965,16,10,14
21,hk ascent、hk node ascent,PPS32,hybrid-reverse,hk ascent=polyak；hk node ascent=polyak-smoothed,hk ascent=hybrid-reverse；hk node ascent=polyak,41,41,40,bier127.tsp,brg180.tsp,40,,41,,41,,search_node_potential_updates_skipped_total,40,387933.0,56297.0,-0.8548795797212405,9,20,11
22,hk ascent、hk node ascent、hk update iterations,PPSD32,PS-PS16,hk ascent=polyak；hk node ascent=polyak-smoothed-dynamic；hk update iterations=32,hk ascent=polyak-smoothed；hk node ascent=polyak-smoothed；hk update iterations=16,41,40,40,bier127.tsp,,40,,41,,40,,wall_seconds,40,3940.163453342393,4583.749771634117,0.16334000503095303,17,0,23
22,hk ascent、hk node ascent、hk update iterations,PPSD32,PS-PS16,hk ascent=polyak；hk node ascent=polyak-smoothed-dynamic；hk update iterations=32,hk ascent=polyak-smoothed；hk node ascent=polyak-smoothed；hk update iterations=16,41,40,40,bier127.tsp,,40,,41,,40,,branches,40,5183442.0,6071450.0,0.17131627980017905,8,10,22
22,hk ascent、hk node ascent、hk update iterations,PPSD32,PS-PS16,hk ascent=polyak；hk node ascent=polyak-smoothed-dynamic；hk update iterations=32,hk ascent=polyak-smoothed；hk node ascent=polyak-smoothed；hk update iterations=16,41,40,40,bier127.tsp,,40,,41,,40,,search_node_potential_updates_skipped_total,40,387346.0,266572.0,-0.3117987535691604,11,19,10
23,hk ascent、hk node ascent,PPSD32,PS-PS32,hk ascent=polyak；hk node ascent=polyak-smoothed-dynamic,hk ascent=polyak-smoothed；hk node ascent=polyak-smoothed,41,41,41,,,41,,41,,41,,wall_seconds,41,5027.009197970852,4237.459500132129,-0.15706151843872196,16,0,25
23,hk ascent、hk node ascent,PPSD32,PS-PS32,hk ascent=polyak；hk node ascent=polyak-smoothed-dynamic,hk ascent=polyak-smoothed；hk node ascent=polyak-smoothed,41,41,41,,,41,,41,,41,,branches,41,6063434.0,4414770.0,-0.27190268748699165,17,9,15
23,hk ascent、hk node ascent,PPSD32,PS-PS32,hk ascent=polyak；hk node ascent=polyak-smoothed-dynamic,hk ascent=polyak-smoothed；hk node ascent=polyak-smoothed,41,41,41,,,41,,41,,41,,search_node_potential_updates_skipped_total,41,387385.0,276843.0,-0.285354363230378,11,20,10
24,hk ascent、hk node ascent、hk update iterations,PPSD32,PS-PS64,hk ascent=polyak；hk node ascent=polyak-smoothed-dynamic；hk update iterations=32,hk ascent=polyak-smoothed；hk node ascent=polyak-smoothed；hk update iterations=16,41,40,40,bier127.tsp,,40,,41,,40,,wall_seconds,40,3940.163453342393,4611.23813666217,0.17031645800138384,12,0,28
