tau,CPHKMST-P32-LKH,Concorde,GAPMST-P32-LKH-BP-ascent-strong,GAPMST-P32-LKH-BP-ascent-strong-lift2,GAPMST-P32-LKH-BP-ascent-strong-lift2-split2,GAPMST-P32-LKH-BP-ascent-strong-split2,GAPMST-P32-LKH-BP-base,GAPMST-P32-LKH-BP-lift2,GAPMST-P32-LKH-BP-lift2-split2,GAPMST-P32-LKH-BP-split2,GAPMST-P32-LKH-same
2.0012727300914857,0.32,0.7,0.34,0.3,0.3,0.26,0.54,0.4,0.38,0.36,0.32
2.00940617083319,0.32,0.7,0.34,0.3,0.32,0.26,0.54,0.4,0.38,0.36,0.32
2.037988311364545,0.32,0.7,0.36,0.3,0.32,0.26,0.54,0.4,0.38,0.36,0.32
2.038760755693032,0.32,0.7,0.36,0.3,0.32,0.26,0.54,0.4,0.38,0.36,0.34
2.0403282245360645,0.32,0.7,0.36,0.32,0.32,0.26,0.54,0.4,0.38,0.36,0.34
2.0565541476539324,0.32,0.7,0.36,0.32,0.32,0.28,0.54,0.4,0.38,0.36,0.34
2.061211703486416,0.32,0.7,0.36,0.32,0.32,0.28,0.54,0.4,0.38,0.36,0.36
2.0627700010713346,0.34,0.7,0.36,0.32,0.32,0.28,0.54,0.4,0.38,0.36,0.36
2.0713589752876183,0.34,0.7,0.36,0.32,0.34,0.28,0.54,0.4,0.38,0.36,0.36
2.0954535177207445,0.34,0.7,0.36,0.32,0.34,0.28,0.54,0.4,0.38,0.36,0.38
2.1194616049061388,0.34,0.7,0.36,0.34,0.34,0.28,0.54,0.4,0.38,0.36,0.38
2.121767927324478,0.34,0.7,0.36,0.34,0.34,0.28,0.54,0.4,0.38,0.36,0.4
2.1272729132192025,0.34,0.7,0.36,0.36,0.34,0.28,0.54,0.4,0.38,0.36,0.4
2.1383735654603417,0.34,0.7,0.36,0.36,0.34,0.3,0.54,0.4,0.38,0.36,0.4
2.1414287140907,0.36,0.7,0.36,0.36,0.34,0.3,0.54,0.4,0.38,0.36,0.4
2.1447564568530657,0.38,0.7,0.36,0.36,0.34,0.3,0.54,0.4,0.38,0.36,0.4
2.148072633306502,0.38,0.7,0.36,0.36,0.34,0.3,0.54,0.4,0.38,0.36,0.42
2.1750902998725863,0.4,0.7,0.36,0.36,0.34,0.3,0.54,0.4,0.38,0.36,0.42
2.201641029667111,0.4,0.7,0.38,0.36,0.34,0.3,0.54,0.4,0.38,0.36,0.42
2.2213157784623476,0.42,0.7,0.38,0.36,0.34,0.3,0.54,0.4,0.38,0.36,0.42
2.228688053664593,0.42,0.7,0.38,0.38,0.34,0.3,0.54,0.4,0.38,0.36,0.42
2.266563514579395,0.42,0.7,0.38,0.38,0.36,0.3,0.54,0.4,0.38,0.36,0.42
2.2830609894621414,0.42,0.7,0.38,0.38,0.36,0.3,0.54,0.42,0.38,0.36,0.42
2.300700655866862,0.42,0.7,0.4,0.38,0.36,0.3,0.54,0.42,0.38,0.36,0.42
2.3126344604107394,0.42,0.7,0.4,0.38,0.36,0.3,0.54,0.42,0.4,0.36,0.42
2.3172248876681585,0.42,0.7,0.4,0.38,0.36,0.32,0.54,0.42,0.4,0.36,0.42
2.338711993023719,0.42,0.7,0.4,0.38,0.36,0.34,0.54,0.42,0.4,0.36,0.42
2.341204094410343,0.42,0.7,0.4,0.38,0.38,0.34,0.54,0.42,0.4,0.36,0.42
2.355466865877727,0.42,0.7,0.4,0.38,0.38,0.34,0.54,0.44,0.4,0.36,0.42
2.380989695404724,0.42,0.7,0.42,0.38,0.38,0.34,0.54,0.44,0.4,0.36,0.42
2.386176923601315,0.42,0.7,0.42,0.38,0.38,0.34,0.54,0.44,0.4,0.38,0.42
2.387559058785485,0.42,0.7,0.42,0.38,0.4,0.34,0.54,0.44,0.4,0.38,0.42
2.4057581558221806,0.42,0.7,0.42,0.38,0.4,0.34,0.54,0.46,0.4,0.38,0.42
2.4911202665724534,0.44,0.7,0.42,0.38,0.4,0.34,0.54,0.46,0.4,0.38,0.42
2.505534221571905,0.44,0.7,0.42,0.38,0.4,0.34,0.54,0.46,0.4,0.4,0.42
2.5162985142705545,0.44,0.7,0.42,0.4,0.4,0.34,0.54,0.46,0.4,0.4,0.42
2.5181094382865576,0.44,0.7,0.42,0.42,0.4,0.34,0.54,0.46,0.4,0.4,0.42
2.5743819304033506,0.44,0.7,0.42,0.42,0.4,0.34,0.54,0.46,0.4,0.4,0.44
2.5815108561835,0.44,0.7,0.42,0.44,0.4,0.34,0.54,0.46,0.4,0.4,0.44
2.5962682162181197,0.44,0.7,0.42,0.44,0.4,0.36,0.54,0.46,0.4,0.4,0.44
2.6418861172491024,0.44,0.7,0.42,0.46,0.4,0.36,0.54,0.46,0.4,0.4,0.44
2.6557046230809274,0.44,0.7,0.42,0.46,0.4,0.36,0.54,0.46,0.42,0.4,0.44
2.682222573969664,0.44,0.7,0.42,0.46,0.4,0.36,0.54,0.46,0.44,0.4,0.44
2.6839592552308025,0.44,0.7,0.42,0.46,0.42,0.36,0.54,0.46,0.44,0.4,0.44
2.6839915312429237,0.44,0.7,0.44,0.46,0.42,0.36,0.54,0.46,0.44,0.4,0.44
2.685418017925742,0.44,0.7,0.44,0.46,0.42,0.36,0.54,0.48,0.44,0.4,0.44
2.6855713523903866,0.44,0.7,0.44,0.46,0.42,0.36,0.54,0.48,0.44,0.42,0.44
2.697836681248829,0.44,0.7,0.44,0.46,0.42,0.36,0.54,0.48,0.44,0.42,0.46
2.704639385422133,0.44,0.7,0.46,0.46,0.42,0.36,0.54,0.48,0.44,0.42,0.46
2.713338090685296,0.44,0.7,0.46,0.46,0.42,0.36,0.54,0.48,0.44,0.44,0.46
2.7157931393961015,0.44,0.72,0.46,0.46,0.42,0.36,0.54,0.48,0.44,0.44,0.46
2.7561100543426513,0.44,0.72,0.46,0.46,0.42,0.38,0.54,0.48,0.44,0.44,0.46
2.7665148774160655,0.46,0.72,0.46,0.46,0.42,0.38,0.54,0.48,0.44,0.44,0.46
2.8271635345652677,0.46,0.72,0.46,0.48,0.42,0.38,0.54,0.48,0.44,0.44,0.46
2.834319335267458,0.46,0.72,0.46,0.48,0.42,0.4,0.54,0.48,0.44,0.44,0.46
2.873614523185404,0.46,0.74,0.46,0.48,0.42,0.4,0.54,0.48,0.44,0.44,0.46
2.906951467459606,0.46,0.74,0.46,0.48,0.44,0.4,0.54,0.48,0.44,0.44,0.46
2.9620419990339277,0.46,0.74,0.48,0.48,0.44,0.4,0.54,0.48,0.44,0.44,0.46
2.971219064691158,0.46,0.76,0.48,0.48,0.44,0.4,0.54,0.48,0.44,0.44,0.46
3.0,0.46,0.76,0.48,0.48,0.44,0.4,0.54,0.48,0.44,0.44,0.46
3.0193297674613246,0.46,0.78,0.48,0.48,0.44,0.4,0.54,0.48,0.44,0.44,0.46
3.076655254172089,0.46,0.78,0.48,0.48,0.44,0.42,0.54,0.48,0.44,0.44,0.46
