instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P32:status,P32:successful_repeats,P32:result,gap0.005-0.04:status,gap0.005-0.04:successful_repeats,gap0.005-0.04:result,result_match,P32:matches_reference,gap0.005-0.04:matches_reference,P32:wall_vs_Concorde_relative_change,gap0.005-0.04:wall_vs_Concorde_relative_change,P32:wall_seconds,gap0.005-0.04:wall_seconds,relative_change:wall_seconds,P32:branches,gap0.005-0.04:branches,relative_change:branches,P32:nodes_expanded,gap0.005-0.04:nodes_expanded,P32:pruned_by_bound,gap0.005-0.04:pruned_by_bound,P32:pruned_infeasible,gap0.005-0.04:pruned_infeasible,P32:root_potential_iterations,gap0.005-0.04:root_potential_iterations,P32:search_node_potential_update_candidates,gap0.005-0.04:search_node_potential_update_candidates,P32:search_node_potential_updates_triggered,gap0.005-0.04:search_node_potential_updates_triggered,P32:search_node_potential_updates_skipped_total,gap0.005-0.04:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,P32:search_node_potential_iterations,gap0.005-0.04:search_node_potential_iterations,P32:search_node_potential_updates_skipped_budget_exhausted,gap0.005-0.04:search_node_potential_updates_skipped_budget_exhausted,P32:search_node_potential_updates_skipped_depth_interval,gap0.005-0.04:search_node_potential_updates_skipped_depth_interval,P32:search_node_potential_updates_skipped_gap_above_maximum,gap0.005-0.04:search_node_potential_updates_skipped_gap_above_maximum,P32:search_node_potential_updates_skipped_gap_below_minimum,gap0.005-0.04:search_node_potential_updates_skipped_gap_below_minimum,P32:search_node_potential_updates_skipped_invalid_state,gap0.005-0.04:search_node_potential_updates_skipped_invalid_state,P32:search_node_potential_updates_skipped_numerically_unsafe,gap0.005-0.04:search_node_potential_updates_skipped_numerically_unsafe,P32:search_node_potential_updates_skipped_strategy_none,gap0.005-0.04:search_node_potential_updates_skipped_strategy_none,P32:search_node_potential_updates_skipped_update_depth_zero,gap0.005-0.04:search_node_potential_updates_skipped_update_depth_zero,P32:search_node_potential_updates_skipped_zero_iteration_limit,gap0.005-0.04:search_node_potential_updates_skipped_zero_iteration_limit,P32:search_node_potential_updates_skipped_zero_violation,gap0.005-0.04:search_node_potential_updates_skipped_zero_violation
eil76.tsp,ok,0.038888582959771156,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,5.701447384056891,2.730512316968329,0.2606097925454378,0.14507433772087097,-0.44332737345018614,454.0,4438.0,8.775330396475772,135.0,3635.0,328.0,2427.0,0.0,3.0,364.0,364.0,304.0,3635.0,295.0,30.0,9.0,3605.0,399.55555555555554,5287.0,939.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,3604.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fri26.tsp,ok,0.029480643570423126,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,-0.40002944279820307,-0.7794471577590618,0.017687518149614334,0.006502039730548859,-0.6323938906776114,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr120.tsp,ok,0.15989429503679276,6942.0,1.0,ok,1,6942.0,ok,1,6942.0,True,True,True,112.01531218836858,1011.5381880342948,18.070503670722246,161.89907977357507,7.959300898506957,12407.0,33476106.0,2697.1628113161923,3833.0,23948471.0,8620.0,19283549.0,0.0,0.0,400.0,400.0,11445.0,23948470.0,11321.0,32.0,124.0,23948438.0,193131.56451612903,179449.0,1018.0,0.0,0.0,0.0,0.0,123.0,0.0,0.0,23948433.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0
gr137.tsp,ok,0.33605039678514004,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,207.6456273205473,99.5587468468581,70.11544584855437,33.79280677810311,-0.5180404778271855,51113.0,2942576.0,56.57001154305167,17260.0,2176072.0,34040.0,1659900.0,0.0,45113.0,400.0,800.0,47121.0,2176153.0,47117.0,1096.0,4.0,2175057.0,543763.25,768553.0,33632.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2175052.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0
gr17.tsp,ok,0.018152451142668724,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,-0.16739789131891636,0.877316178926467,0.015113769099116325,0.03407789021730423,1.2547578961820123,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr21.tsp,ok,0.008518075570464134,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,-0.10659820555259258,0.31545074278821805,0.007610063999891281,0.01120510883629322,0.47240664946487954,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr24.tsp,ok,0.013564003631472588,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,0.05294187035394504,0.7939216593411891,0.01428210735321045,0.024332759901881218,0.70372335819276,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr48.tsp,ok,0.07694356888532639,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,2.421143077531925,2.8442052151451445,0.2632349580526352,0.29578686878085136,0.12366104779178788,1203.0,41108.0,33.171238570241066,405.0,29878.0,800.0,23812.0,0.0,28.0,334.0,334.0,1124.0,30062.0,1117.0,553.0,7.0,29509.0,4214.571428571428,17868.0,13498.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,29508.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
gr96.tsp,ok,0.20145457983016968,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,15.163015358017685,9.368169624246304,3.2561134677380323,2.0887152552604675,-0.35852504037229904,5119.0,390339.0,75.25297909747998,1765.0,270560.0,3384.0,226718.0,0.0,95.0,319.0,319.0,4732.0,270584.0,4731.0,248.0,1.0,270336.0,270335.0,78352.0,7480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
hk48.tsp,ok,0.03125464729964733,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,0.17955172171916423,0.44504389855105364,0.03686647303402424,0.04516433738172054,0.22507887695245943,18.0,44.0,1.4444444444444446,7.0,36.0,11.0,19.0,1.0,14.0,100.0,100.0,13.0,35.0,13.0,0.0,0.0,35.0,,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
