instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P32:status,P32:successful_repeats,P32:result,P33>2%128:status,P33>2%128:successful_repeats,P33>2%128:result,result_match,P32:matches_reference,P33>2%128:matches_reference,P32:wall_vs_Concorde_relative_change,P33>2%128:wall_vs_Concorde_relative_change,P32:wall_seconds,P33>2%128:wall_seconds,relative_change:wall_seconds,P32:branches,P33>2%128:branches,relative_change:branches,P32:nodes_expanded,P33>2%128:nodes_expanded,P32:pruned_by_bound,P33>2%128:pruned_by_bound,P32:pruned_infeasible,P33>2%128:pruned_infeasible,P32:root_potential_iterations,P33>2%128:root_potential_iterations,P32:search_node_potential_update_candidates,P33>2%128:search_node_potential_update_candidates,P32:search_node_potential_updates_triggered,P33>2%128:search_node_potential_updates_triggered,P32:search_node_potential_updates_skipped_total,P33>2%128:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,P32:search_node_potential_iterations,P33>2%128:search_node_potential_iterations,P32:search_node_potential_updates_skipped_budget_exhausted,P33>2%128:search_node_potential_updates_skipped_budget_exhausted,P32:search_node_potential_updates_skipped_depth_interval,P33>2%128:search_node_potential_updates_skipped_depth_interval,P32:search_node_potential_updates_skipped_gap_above_maximum,P33>2%128:search_node_potential_updates_skipped_gap_above_maximum,P32:search_node_potential_updates_skipped_gap_below_minimum,P33>2%128:search_node_potential_updates_skipped_gap_below_minimum,P32:search_node_potential_updates_skipped_invalid_state,P33>2%128:search_node_potential_updates_skipped_invalid_state,P32:search_node_potential_updates_skipped_numerically_unsafe,P33>2%128:search_node_potential_updates_skipped_numerically_unsafe,P32:search_node_potential_updates_skipped_strategy_none,P33>2%128:search_node_potential_updates_skipped_strategy_none,P32:search_node_potential_updates_skipped_update_depth_zero,P33>2%128:search_node_potential_updates_skipped_update_depth_zero,P32:search_node_potential_updates_skipped_zero_iteration_limit,P33>2%128:search_node_potential_updates_skipped_zero_iteration_limit,P32:search_node_potential_updates_skipped_zero_violation,P33>2%128:search_node_potential_updates_skipped_zero_violation
eil76.tsp,ok,0.038888582959771156,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,5.701447384056891,28.420170245935115,0.2606097925454378,1.1441087312996387,3.3901217990500534,454.0,282120.0,620.409691629956,135.0,219227.0,328.0,164940.0,0.0,50.0,364.0,364.0,304.0,219226.0,295.0,4.0,9.0,219222.0,24357.0,5287.0,512.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,219221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fri26.tsp,ok,0.029480643570423126,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,-0.40002944279820307,-0.8022671586436094,0.017687518149614334,0.005829291418194771,-0.6704290919231155,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr120.tsp,ok,0.15989429503679276,6942.0,1.0,ok,1,6942.0,ok,1,6942.0,True,True,True,112.01531218836858,1039.8911628441433,18.070503670722246,166.43255869299173,8.21017818460949,12407.0,34486837.0,2778.6273877649714,3833.0,24700414.0,8620.0,19842895.0,0.0,0.0,400.0,400.0,11445.0,24700413.0,11321.0,14.0,124.0,24700399.0,199195.76612903227,179449.0,1792.0,0.0,0.0,0.0,0.0,123.0,0.0,0.0,24700392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0
gr137.tsp,ok,0.33605039678514004,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,207.6456273205473,964.6968029270494,70.11544584855437,324.5227937977761,3.6284066209709067,51113.0,23981872.0,468.193199381762,17260.0,16170127.0,34040.0,14214948.0,0.0,85.0,400.0,800.0,47121.0,16170125.0,47117.0,3.0,4.0,16170122.0,4042529.5,768553.0,384.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,16170122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
gr17.tsp,ok,0.018152451142668724,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,-0.16739789131891636,0.7510331667166554,0.015113769099116325,0.031785544008016586,1.1030851933469745,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr21.tsp,ok,0.008518075570464134,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,-0.10659820555259258,3.969688441578122,0.007610063999891281,0.042332181707024574,4.562657778913468,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr24.tsp,ok,0.013564003631472588,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,0.05294187035394504,1.389939521724377,0.01428210735321045,0.03241714835166931,1.2697734689959685,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr48.tsp,ok,0.07694356888532639,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,2.421143077531925,3.651051529888427,0.2632349580526352,0.3578685037791729,0.3595021969217904,1203.0,154424.0,127.3657522859518,405.0,111300.0,800.0,91367.0,0.0,302.0,334.0,334.0,1124.0,111299.0,1117.0,2.0,7.0,111297.0,15898.57142857143,17868.0,256.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,111295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
gr96.tsp,ok,0.20145457983016968,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,15.163015358017685,39.84089559934222,3.2561134677380323,8.227585462853312,1.5268116557894031,5119.0,2490722.0,485.56417268997853,1765.0,1672187.0,3384.0,1488093.0,0.0,6435.0,319.0,684.0,4732.0,1672185.0,4731.0,0.0,1.0,1672185.0,1672184.0,78352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1672184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
hk48.tsp,ok,0.03125464729964733,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,0.17955172171916423,0.3973407527698183,0.03686647303402424,0.04367339238524437,0.18463711852603848,18.0,44.0,1.4444444444444446,7.0,36.0,11.0,19.0,1.0,14.0,100.0,100.0,13.0,35.0,13.0,0.0,0.0,35.0,,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
