repeat,configuration,instance,lower_bound,upper_bound,instance_wall_seconds,root_ascent_seconds,root_potential_iterations
1,polyak64,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bier127.tsp,117430.62999807068,118282.0,0.043386583,0.018147667,64.0
1,polyak128,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bier127.tsp,117430.62999807068,118282.0,0.052767583,0.027395125,100.0
1,polyak-smoothed32,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bier127.tsp,117430.62999807068,118282.0,0.03444325,0.009172541,32.0
1,polyak-smoothed64,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bier127.tsp,117430.62999807068,118282.0,0.043831,0.018625625,64.0
1,polyak-smoothed128,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bier127.tsp,117430.62999807068,118282.0,0.053619666,0.02837675,100.0
1,polyak-smoothed-dynamic32,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bier127.tsp,117430.62999807068,118282.0,0.034608041,0.009356292,32.0
1,polyak-smoothed-dynamic64,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bier127.tsp,117430.62999807068,118282.0,0.04388225,0.018680917,64.0
1,polyak-smoothed-dynamic128,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bier127.tsp,117430.62999807068,118282.0,0.053572208,0.028438958,100.0
1,helsgaun16,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bier127.tsp,117430.62999807068,118282.0,0.02922825,0.003890042,16.0
1,helsgaun32,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bier127.tsp,117430.62999807068,118282.0,0.031135792,0.005769291,32.0
1,helsgaun64,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bier127.tsp,117430.62999807068,118282.0,0.037066125,0.011720291,64.0
1,hybrid-reverse16,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bier127.tsp,117430.62999807068,118282.0,0.033619708,0.008093791,32.0
1,hybrid-reverse32,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bier127.tsp,117430.62999807068,118282.0,0.040916916,0.01554,64.0
1,hybrid-reverse64,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bier127.tsp,117430.62999807068,118282.0,0.058535792,0.033199625,128.0
1,local-full,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bier127.tsp,117426.26026219816,118282.0,0.101454833,0.075277375,262.0
1,replace,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brazil58.tsp,25354.239999786165,25395.0,0.001796208,2.042e-06,0.0
1,polyak8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brazil58.tsp,25354.239999786165,25395.0,0.002248333,0.000462709,8.0
1,polyak16,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brazil58.tsp,25354.239999786165,25395.0,0.002718917,0.000913541,16.0
1,polyak32,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brazil58.tsp,25354.239999786165,25395.0,0.0035545,0.001769708,32.0
1,polyak64,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brazil58.tsp,25354.239999786165,25395.0,0.004484833,0.002715375,64.0
1,polyak128,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brazil58.tsp,25354.412493850654,25395.0,0.009222875,0.005761041,100.0
1,polyak-smoothed32,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brazil58.tsp,25354.239999786165,25395.0,0.005485375,0.001892,32.0
1,polyak-smoothed64,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brazil58.tsp,25354.239999786165,25395.0,0.004402417,0.002657625,64.0
1,polyak-smoothed128,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brazil58.tsp,25354.3746305952,25395.0,0.004931,0.003203959,100.0
1,polyak-smoothed-dynamic32,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brazil58.tsp,25354.239999786165,25395.0,0.003288917,0.001562834,32.0
1,polyak-smoothed-dynamic64,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brazil58.tsp,25354.239999786165,25395.0,0.004435708,0.002740167,64.0
1,polyak-smoothed-dynamic128,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brazil58.tsp,25354.45475128169,25395.0,0.004943,0.0032265,100.0
1,helsgaun16,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brazil58.tsp,25354.239999786165,25395.0,0.0023035,0.00045075,16.0
1,helsgaun32,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brazil58.tsp,25354.239999786165,25395.0,0.002539833,0.000783167,32.0
1,helsgaun64,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brazil58.tsp,25354.379999786164,25395.0,0.003044041,0.001226875,54.0
1,hybrid-reverse16,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brazil58.tsp,25354.239999786165,25395.0,0.0030635,0.001346834,32.0
1,hybrid-reverse32,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brazil58.tsp,25354.239999786165,25395.0,0.004136125,0.002347334,64.0
1,hybrid-reverse64,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brazil58.tsp,25354.379999786164,25395.0,0.005831958,0.004101,118.0
1,local-full,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brazil58.tsp,25316.887550529744,25395.0,0.01131525,0.009605542,220.0
1,replace,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brg180.tsp,1949.3499976926923,1950.0,0.021002916,1.2666e-05,0.0
1,polyak8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brg180.tsp,1949.3499976926923,1950.0,0.024273542,0.003066,8.0
1,polyak16,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brg180.tsp,1949.3499976926923,1950.0,0.029441875,0.007608125,16.0
1,polyak32,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brg180.tsp,1949.5175955212753,1950.0,0.038919167,0.016915375,32.0
