config,mode,gap_ratio,repeat,instance_name,instance,status,cost,root_lower_bound,initial_upper_bound,final_upper_bound,final_lower_bound,final_relative_gap,initial_tour_seconds,initial_clk_starts,adaptive_clk_triggers,adaptive_clk_improvements,root_potential_iterations,root_ascent_seconds,instance_wall_seconds
adaptive-0.015,adaptive,0.014999999999999999,1,qa194.tsp,data/classic/national/qa194.tsp,ok,9695,9265.2477858561051,9695,9695,9265.2477858561051,0.044327201046301688,0.267739958,3,1,0,617,0.43468220800000001,0.70400179100000004
adaptive-0.015,adaptive,0.014999999999999999,1,rat195.tsp,data/classic/tsplib/rat195.tsp,ok,2356,2293.7609553055195,2356,2356,2293.7609553055195,0.026417251568115672,0.117673667,3,1,0,645,0.450717584,0.56966495900000003
adaptive-0.015,adaptive,0.014999999999999999,1,rat99.tsp,data/classic/tsplib/rat99.tsp,ok,1224,1205.9998415063767,1224,1224,1205.9998415063767,0.014706011841195509,0.010476709000000001,1,0,0,495,0.056899333000000003,0.067704625000000004
adaptive-0.015,adaptive,0.014999999999999999,1,rd100.tsp,data/classic/tsplib/rd100.tsp,ok,8051,7899.3259510206526,8051,8051,7899.3259510206526,0.01883915649973263,0.032682708999999997,3,1,1,1046,0.16165579200000002,0.19497858300000001
adaptive-0.015,adaptive,0.014999999999999999,1,si175.tsp,data/classic/tsplib/si175.tsp,ok,21455,21367.295814485078,21455,21455,21367.295814485078,0.0040878203456034415,0.070656250000000004,1,0,0,329,0.17909304100000001,0.25216666700000001
adaptive-0.015,adaptive,0.014999999999999999,1,st70.tsp,data/classic/tsplib/st70.tsp,ok,682,670.99993219536304,682,682,670.99993219536304,0.016129131678353309,0.014914042000000001,3,1,1,779,0.047738957999999998,0.062953290999999995
adaptive-0.015,adaptive,0.014999999999999999,1,swiss42.tsp,data/classic/tsplib/swiss42.tsp,ok,1274,1271.9897885923313,1274,1274,1271.9897885923313,0.0015778739463647947,0.0014630000000000001,1,0,0,153,0.0025274579999999998,0.004206375
adaptive-0.015,adaptive,0.014999999999999999,1,u159.tsp,data/classic/tsplib/u159.tsp,ok,42705,41924.99653761345,42705,42705,41924.99653761345,0.0182649212594907,0.070242042000000005,3,1,1,954,0.39989783400000001,0.471508125
adaptive-0.015,adaptive,0.014999999999999999,1,ulysses16.tsp,data/classic/tsplib/ulysses16.tsp,ok,6859,6858.9999999967931,6859,6859,6858.9999999967931,4.6754312851018297e-13,0.0014278750000000001,1,0,0,134,0.00022425,0.001693083
adaptive-0.015,adaptive,0.014999999999999999,1,wi29.tsp,data/classic/national/wi29.tsp,ok,27603,27602.999999943651,27603,27603,27602.999999943651,2.04139599837132e-12,0.0015573329999999999,1,0,0,71,0.00069429099999999998,0.0023133749999999999
adaptive-0.015,adaptive,0.014999999999999999,1,xqf131.tsp,data/classic/vlsi/vlsi/xqf131.tsp,ok,579,555.84186399071086,579,579,555.84186399071086,0.039996780672347389,0.047949832999999997,3,1,1,1165,0.332632082,0.38157366700000001
adaptive-0.015,adaptive,0.014999999999999999,2,att48.tsp,data/classic/tsplib/att48.tsp,ok,10648,10599.68823369806,10648,10648,10599.68823369806,0.0045371681350432217,0.0042868339999999998,1,0,0,214,0.0057607079999999998,0.010190917000000001
adaptive-0.015,adaptive,0.014999999999999999,2,bayg29.tsp,data/classic/tsplib/bayg29.tsp,ok,1610,1607.9853691203934,1610,1610,1607.9853691203934,0.001251323527705936,0.001431292,1,0,0,137,0.00086987499999999999,0.0023960000000000001
adaptive-0.015,adaptive,0.014999999999999999,2,bays29.tsp,data/classic/tsplib/bays29.tsp,ok,2020,2013.3953357260446,2020,2020,2013.3953357260446,0.0032696357791858663,0.0018556250000000001,1,0,0,125,0.00097574999999999995,0.0029524999999999998
adaptive-0.015,adaptive,0.014999999999999999,2,berlin52.tsp,data/classic/tsplib/berlin52.tsp,ok,7542,7541.9999999735055,7542,7542,7541.9999999735055,3.5129263003642498e-12,0.0025306669999999999,1,0,0,57,0.0023936249999999999,0.0050455830000000002
adaptive-0.015,adaptive,0.014999999999999999,2,bier127.tsp,data/classic/tsplib/bier127.tsp,ok,119783,117430.98452367027,119783,119783,117430.98452367027,0.019635636745863206,0.067008624999999988,3,1,1,865,0.24615466600000002,0.31414404200000001
adaptive-0.015,adaptive,0.014999999999999999,2,brazil58.tsp,data/classic/tsplib/brazil58.tsp,ok,25395,25316.887550529744,25395,25395,25316.887550529744,0.003075898778116017,0.0065085840000000004,1,0,0,220,0.010490625,0.017276125
adaptive-0.015,adaptive,0.014999999999999999,2,brg180.tsp,data/classic/tsplib/brg180.tsp,ok,1960,1949.2773311365436,1960,1960,1949.2773311365436,0.0054707494201308264,0.032565999999999998,1,0,0,334,0.169027125,0.205147458
adaptive-0.015,adaptive,0.014999999999999999,2,burma14.tsp,data/classic/tsplib/burma14.tsp,ok,3323,3322.999999998799,3323,3323,3322.999999998799,3.6141671793293762e-13,0.00047800000000000002,1,0,0,28,4.9209000000000003e-05,0.00056570800000000005
adaptive-0.015,adaptive,0.014999999999999999,2,ch130.tsp,data/classic/tsplib/ch130.tsp,ok,6198,6074.8655218289859,6198,6198,6074.8655218289859,0.019866808352858027,0.065422915999999998,3,1,1,1126,0.32601554199999999,0.39265499999999998
