config,repeat,instance,final_upper_bound,final_lower_bound,final_relative_gap,initial_tour_seconds,initial_clk_starts,root_guided_lk_calls,root_guided_lk_improvements,root_guided_lk_reascents,root_guided_lk_seconds,root_guided_lk_total_gain,root_potential_iterations,root_ascent_seconds,instance_wall_seconds
root-alpha8,1,data/classic/tsplib/d198.tsp,15929,14536.148992869335,0.087441208307531201,0.15731562499999999,2,1,1,0,0.020092958000000001,60,694,0.49741570899999998,0.65611533300000002
root-alpha8,1,data/classic/tsplib/dantzig42.tsp,699,696.95338306543158,0.0029279212225585397,0.0054570409999999993,2,1,0,0,0.0031623749999999998,0,225,0.0036472090000000002,0.0092615409999999999
root-alpha8,1,data/classic/national/dj38.tsp,6656,6655.9999999809961,2.8551520122514027e-12,0.0034285420000000001,2,1,0,0,0.0020312920000000001,0,43,0.00074820799999999999,0.0042485830000000002
root-alpha8,1,data/classic/tsplib/eil101.tsp,646,627.34444740256754,0.028878564392310312,0.021549874,2,1,0,0,0.0062980830000000003,0,540,0.066865375000000005,0.088753542000000005
root-alpha8,1,data/classic/tsplib/eil51.tsp,427,422.49983691886655,0.010539023609211828,0.0035386670000000001,2,1,0,0,0.0015598750000000001,0,521,0.011871166000000001,0.015512625
root-alpha8,1,data/classic/tsplib/eil76.tsp,548,536.99995437170719,0.020073075964037974,0.0081235839999999997,2,1,0,0,0.0028695840000000001,0,423,0.024884582999999998,0.033195500000000003
root-alpha8,1,data/classic/tsplib/fri26.tsp,937,936.99999999893805,1.1333497877882768e-12,0.002748,2,1,0,0,0.00167,0,52,0.00039754100000000001,0.0032174999999999999
root-alpha8,1,data/classic/tsplib/gr120.tsp,7035,6911.2437009000378,0.017591513731337917,0.046568958000000001,2,1,1,0,0.0107615,73,516,0.112217625,0.15990104199999999
root-alpha8,1,data/classic/tsplib/gr137.tsp,70620,69118.352244264752,0.021263774507720875,0.060555917000000001,2,1,0,0,0.013598249999999999,0,592,0.161604583,0.22297033299999999
root-alpha8,1,data/classic/tsplib/gr17.tsp,2085,2084.9999999989241,5.1603464373974782e-13,0.0020571249999999999,2,1,0,0,0.001099542,0,121,0.000213375,0.0023185419999999998
root-alpha8,1,data/classic/tsplib/gr21.tsp,2707,2706.9999999976822,8.5624205669313169e-13,0.0014865,2,1,0,0,0.00094162499999999997,0,29,0.00013124999999999999,0.0016743330000000001
root-alpha8,1,data/classic/tsplib/gr24.tsp,1272,1271.9995357693901,3.6496117126599589e-07,0.0021267500000000002,2,1,0,0,0.001207708,0,122,0.00052962500000000004,0.002712833
root-alpha8,1,data/classic/tsplib/gr48.tsp,5093,4958.9994433825923,0.026310731713608426,0.0059602919999999998,2,1,0,0,0.00242275,0,318,0.0061480409999999999,0.012306416000000001
root-alpha8,1,data/classic/tsplib/gr96.tsp,55312,54569.493520663818,0.013423967300697528,0.023872000000000001,2,1,1,0,0.011148750000000001,283,370,0.038503084,0.062791250000000007
root-alpha8,1,data/classic/tsplib/hk48.tsp,11470,11443.03742578926,0.0023507039416512691,0.0044981659999999996,2,1,0,0,0.002114458,0,162,0.0040345829999999996,0.0087246249999999997
root-alpha8,1,data/classic/tsplib/kroA100.tsp,21689,20936.495650387562,0.034695207230044635,0.026353292,2,1,0,0,0.0095026669999999994,0,391,0.053905500000000002,0.080611749999999996
root-alpha8,1,data/classic/tsplib/kroA150.tsp,26786,26296.059282328926,0.018290925023186508,0.079794792000000003,2,1,1,0,0.015033959,30,602,0.24181862500000001,0.32236825000000002
root-alpha8,1,data/classic/tsplib/kroB100.tsp,22328,21833.996439724335,0.022124845945703388,0.025017542,2,1,1,0,0.0083393340000000003,16,400,0.055306833999999999,0.080671166000000002
root-alpha8,1,data/classic/tsplib/kroB150.tsp,26359,25732.496018037127,0.023768124054891034,0.092790915999999987,2,1,1,0,0.014293749999999999,123,429,0.16998195899999999,0.26353349999999998
root-alpha8,1,data/classic/tsplib/kroC100.tsp,20965,20472.496949803051,0.023491678998185005,0.024282082999999999,2,1,0,0,0.008168458,0,354,0.046647333999999999,0.071305666000000004
root-alpha8,1,data/classic/tsplib/kroD100.tsp,21811,21141.497531594749,0.03069563378136039,0.024079208000000001,2,1,0,0,0.0082722079999999996,0,388,0.051956333,0.076375333000000004
root-alpha8,1,data/classic/tsplib/kroE100.tsp,22597,21798.395755460664,0.035341162302046106,0.022790334000000002,2,1,0,0,0.007758292,0,591,0.082084083000000002,0.105201583
root-alpha8,1,data/classic/tsplib/lin105.tsp,14523,14370.499389782033,0.010500627295873224,0.027227999999999999,2,1,0,0,0.0076456249999999996,0,345,0.050072166000000001,0.077660999999999994
root-alpha8,1,data/classic/tsplib/pr107.tsp,44303,39439.603513482449,0.10977578237405032,0.018977374999999998,2,1,0,0,0.0047783749999999996,0,524,0.092258207999999994,0.111598084
root-alpha8,1,data/classic/tsplib/pr124.tsp,59159,58067.492748859826,0.018450400634564039,0.027343125999999999,2,1,0,0,0.0070244590000000003,0,370,0.073788124999999996,0.101649792
root-alpha8,1,data/classic/tsplib/pr136.tsp,100530,95327.533190416478,0.051750391023411141,0.052931291000000005,2,1,1,0,0.013032958000000001,126,592,0.18045625000000001,0.234012041
