instance,configuration,baseline_ub,candidate_ub,ub_gain,baseline_wall_seconds,candidate_wall_seconds,wall_delta,root_guided_lk_improved,root_guided_lk_seconds,root_ascent_seconds,root_potential_iterations
data/classic/tsplib/eil76.tsp,root-alpha5,548.0,548.0,0.0,0.031040583,0.033641083,0.002600500000000002,0.0,0.002378917,0.02575625,423.0
data/classic/tsplib/fri26.tsp,root-alpha5,937.0,937.0,0.0,0.001502459,0.002173583,0.0006711240000000002,0.0,0.000706416,0.000330667,52.0
data/classic/tsplib/gr120.tsp,root-alpha5,7108.0,7108.0,0.0,0.151646291,0.157274542,0.005628251000000001,0.0,0.007399292,0.11230925,516.0
data/classic/tsplib/gr137.tsp,root-alpha5,70620.0,70620.0,0.0,0.21438275,0.221572875,0.007190124999999992,0.0,0.006531416,0.1662835,592.0
data/classic/tsplib/gr17.tsp,root-alpha5,2085.0,2085.0,0.0,0.001209125,0.001688208,0.00047908300000000016,0.0,0.000500458,0.000210083,121.0
data/classic/tsplib/gr21.tsp,root-alpha5,2707.0,2707.0,0.0,0.0007565,0.000964917,0.00020841700000000002,0.0,0.000233125,0.000133292,29.0
data/classic/tsplib/gr24.tsp,root-alpha5,1272.0,1272.0,0.0,0.001437625,0.002091209,0.000653584,0.0,0.00065425,0.0004725,122.0
data/classic/tsplib/gr48.tsp,root-alpha5,5093.0,5093.0,0.0,0.010021292,0.0115805,0.0015592080000000012,0.0,0.001662375,0.006046542,318.0
data/classic/tsplib/gr96.tsp,root-alpha5,55595.0,55595.0,0.0,0.051432083,0.055639791,0.0042077079999999975,0.0,0.003740042,0.03837675,370.0
data/classic/tsplib/hk48.tsp,root-alpha5,11470.0,11470.0,0.0,0.006695709,0.007771458,0.001075749,0.0,0.001184917,0.0040735,162.0
data/classic/tsplib/kroA100.tsp,root-alpha5,21689.0,21689.0,0.0,0.07259275,0.078643083,0.006050333000000005,0.0,0.006122667,0.055556541,391.0
data/classic/tsplib/kroA150.tsp,root-alpha5,26816.0,26782.0,34.0,0.310316042,0.31722475,0.006908707999999986,1.0,0.009539584,0.243069875,602.0
data/classic/tsplib/kroB100.tsp,root-alpha5,22344.0,22328.0,16.0,0.075695542,0.075058584,-0.0006369580000000069,1.0,0.0040935,0.053700166,400.0
data/classic/tsplib/kroB150.tsp,root-alpha5,26482.0,26383.0,99.0,0.247602792,0.261135625,0.013532832999999994,1.0,0.009760042,0.172046792,429.0
data/classic/tsplib/kroC100.tsp,root-alpha5,20965.0,20965.0,0.0,0.061222,0.06755175,0.006329749999999995,0.0,0.005057917,0.04604525,354.0
data/classic/tsplib/kroD100.tsp,root-alpha5,21811.0,21811.0,0.0,0.068202333,0.074906291,0.006703957999999996,0.0,0.005060583,0.053750583,388.0
data/classic/tsplib/kroE100.tsp,root-alpha5,22597.0,22597.0,0.0,0.097861584,0.10344475,0.0055831660000000005,0.0,0.00560725,0.082041625,591.0
data/classic/tsplib/lin105.tsp,root-alpha5,14523.0,14483.0,40.0,0.07075425,0.076502792,0.005748541999999995,1.0,0.004185792,0.052127833,345.0
data/classic/tsplib/pr107.tsp,root-alpha5,44303.0,44303.0,0.0,0.10792775,0.111628375,0.003700624999999999,0.0,0.003366583,0.09336125,524.0
data/classic/tsplib/pr124.tsp,root-alpha5,59159.0,59159.0,0.0,0.099838125,0.104495292,0.004657167000000004,0.0,0.003774667,0.079960375,370.0
data/classic/tsplib/pr136.tsp,root-alpha5,100656.0,100656.0,0.0,0.226009458,0.231946291,0.0059368330000000025,0.0,0.008544667,0.182870542,592.0
data/classic/tsplib/pr144.tsp,root-alpha5,58537.0,58537.0,0.0,0.122037375,0.127092875,0.0050554999999999906,0.0,0.005517,0.0956985,288.0
data/classic/tsplib/pr152.tsp,root-alpha5,74442.0,74442.0,0.0,0.2896895,0.299324417,0.00963491700000002,0.0,0.004400583,0.249028875,621.0
data/classic/tsplib/pr76.tsp,root-alpha5,109067.0,109067.0,0.0,0.030205042,0.033535,0.003329958000000001,0.0,0.003586125,0.022149875,342.0
data/classic/tsplib/rat195.tsp,root-alpha5,2356.0,2356.0,0.0,0.5172165,0.530702833,0.013486333000000017,0.0,0.008651083,0.426599083,645.0
data/classic/tsplib/rat99.tsp,root-alpha5,1224.0,1224.0,0.0,0.065029917,0.06783775,0.0028078329999999957,0.0,0.003161625,0.053899708,495.0
